Programa,Total no ano (R$)
"1027 - Prevenção e Preparação para Desastres","10.664,69"
"2020 - Cidadania e Justiça","43.412.928,38"
"2034 - Promoção da Igualdade Racial e Superação do Racismo","4.201.880,42"
"2067 - Resíduos Sólidos","921.388,68"
"2132 - Programa de Gestão e Manutenção das Mulheres, da Igualdade Racial e dos Direitos Humanos","24.899.154,38"
"2075 - Transporte Rodoviário","3.507.712.029,47"
"1462 - Vetor Logístico Sul","234.548,90"
"0553 - Atuação Legislativa da Câmara dos Deputados","694,10"
"0150 - Proteção e Promoção dos Povos Indígenas","13.310,33"
"2104 - Programa de Gestão e Manutenção da Secretaria de Políticas para as Mulheres","1.953.797,53"
"1388 - Ciência, Tecnologia e Inovação para a Política Industrial, Tecnológica e de Comércio Exterior (PITCE)","4.462.439,07"
"0813 - Monumenta","156.482,69"
"2015 - Fortalecimento do Sistema Único de Saúde (SUS)","7.210.221.304,65"
"2018 - Biodiversidade","36.103.294,00"
"2030 - Educação Básica","1.103.715.993,30"
"1157 - Qualidade dos Serviços de Telecomunicações","3.067,37"
"1067 - Gestão da Política de Educação","800,00"
"0515 - Infra-Estrutura Hídrica","37.111,19"
"2024 - Comércio Exterior","593.461.989,59"
"1062 - Desenvolvimento da Educação Profissional e Tecnológica","252.590,15"
"1032 - Democratização do Acesso à Informação Jornalística, Educacional e Cultural","288.897,83"
"1457 - Vetor Logístico Centro-Norte","34.206,95"
"2045 - Licenciamento e Qualidade Ambiental","5.445.675,57"
"2053 - Petróleo e Gás","32.777.326,48"
"2127 - Programa de Gestão e Manutenção do Ministério do Trabalho e Emprego","54.461.325,20"
"2110 - Programa de Gestão e Manutenção do Ministério da Fazenda","3.795.443.102,19"
"2116 - Programa de Gestão e Manutenção do Ministério das Cidades","340.300.138,13"
"2073 - Transporte Hidroviário","27.524.424,69"
"2033 - Energia Elétrica","161.830.011,04"
"2130 - Programa de Gestão e Manutenção da Advocacia-Geral da União","669.351.839,43"
"2118 - Programa de Gestão e Manutenção do Ministério das Relações Exteriores","349.262.476,82"
"2013 - Agricultura Irrigada","78.887.551,03"
"2048 - Mobilidade Urbana e Trânsito","56.634.948,97"
"2039 - Gestão da Política Econômica, Garantia da Estabilidade do Sistema Financeiro Nacional e Melhoria do Ambiente d","69.047.270,56"
"0620 - Preparo e Emprego da Força Terrestre","53.262,00"
"2119 - Programa de Gestão e Manutenção do Ministério de Minas e Energia","456.359.244,01"
"0903 - Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica","1.947.369.019,85"
"2107 - Programa de Gestão e Manutenção do Ministério da Cultura","215.220.692,14"
"2080 - Educação de qualidade para todos","2.636.802.553,06"
"1166 - Turismo Social no Brasil: Uma Viagem de Inclusão","797.226,46"
"2102 - Programa de Gestão e Manutenção da Secretaria de Direitos Humanos","4.436.856,11"
"2036 - Florestas, Prevenção e Controle do Desmatamento e dos Incêndios","23.178.390,72"
"1036 - Integração de Bacias Hidrográficas","720.913,75"
"6102 - OLIMPIADAS E PARALIMPIADAS DE QUALIDADE","9.172.659,40"
"2129 - Prestação de Assistência Jurídica Gratuita pela Defensoria Pública da União","120.752.674,99"
"2103 - Programa de Gestão e Manutenção da Secretaria de Políticas de Promoção da Igualdade Racial","1.391.984,68"
"0663 - Segurança Pública nas Rodovias Federais","444,79"
"1413 - Promoção da Justiça e da Cidadania","490.562,55"
"0464 - Nacional de Atividades Espaciais - PNAE","693.549,25"
"2023 - Comércio e Serviços","9.159.639,24"
"2046 - Oceanos, Zona Costeira e Antártica","5.352.696,89"
"0807 - Programa de Gestão e Manutenção de Infraestrutura de Empresas Estatais Federais","8.233.182,19"
"0167 - Brasil Patrimônio Cultural","124.494,45"
"0626 - Reaparelhamento e Adequação da Marinha do Brasil","2.868.938,03"
"0257 - Universalização dos Serviços de Telecomunicações","20.041,63"
"2026 - Conservação e Gestão de Recursos Hídricos","46.585.273,45"
"2113 - Programa de Gestão e Manutenção do Ministério da Pesca e Aquicultura","5.754.452,32"
"2055 - Desenvolvimento Produtivo","119.642.524,94"
"2131 - Programa de Gestão e Manutenção do Ministério do Trabalho e Previdência Social","2.263.582.078,37"
"2031 - Educação Profissional e Tecnológica","1.020.770.687,87"
"2042 - Pesquisa e Inovações para a Agropecuária","117.490.421,03"
"1436 - Aperfeiçoamento do Trabalho e da Educação na Saúde","50.000,00"
"2065 - Proteção e Promoção dos Direitos dos Povos Indígenas","245.747.078,70"
"2062 - Promoção, Proteção e Defesa dos Direitos Humanos de Crianças e Adolescentes","5.074.564,02"
"1049 - Acesso à Alimentação","10.361,22"
"2063 - Promoção e Defesa dos Direitos de Pessoas com Deficiência","3.137.351,15"
"2120 - Programa de Gestão e Manutenção do Ministério do Desenvolvimento Agrário","288.379.646,11"
"0913 - Operações Especiais - Integralização de Cotas em Organismos Financeiros Internacionais","694.785.340,80"
"2122 - Programa de Gestão e Manutenção do Ministério do Desenvolvimento Social e Combate à Fome","57.081.426,15"
"2079 - Desenvolvimento da Indústria, Comércio e Serviços","6.950.032,79"
"2072 - Transporte Ferroviário","309.636.435,18"
"1350 - Educação do Campo (PRONERA)","2.513,36"
"2029 - Desenvolvimento Regional e Territorial","307.475.199,73"
"2108 - Programa de Gestão e Manutenção do Ministério da Defesa","14.860.310.963,83"
"2071 - Promoção do Trabalho Decente e Economia Solidária","22.381.812.917,62"
"0907 - Operações Especiais: Refinanciamento da Dívida Interna","304.088.122.846,89"
"2114 - Programa de Gestão e Manutenção do Ministério da Previdência Social","21.329.146,49"
"2083 - Qualidade Ambiental","5.962.653,24"
"0908 - Operações Especiais: Refinanciamento da Dívida Externa","4.059.017.233,98"
"2035 - Esporte, Cidadania e Desenvolvimento","184.768.693,91"
"2084 - Recursos Hídricos","62.711.717,78"
"2037 - Consolidação do Sistema Único de Assistência Social (SUAS)","49.483.877,04"
"0569 - Prestação Jurisdicional na Justiça Federal","2.700,25"
"0137 - Desenvolvimento Sustentável de Projetos de Assentamento","180.594,54"
"2017 - Aviação Civil","60.378.034,92"
"2106 - Programa de Gestão e Manutenção do Ministério da Ciência, Tecnologia e Inovação","671.158.716,44"
"2025 - Comunicações para o Desenvolvimento, a Inclusão e a Democracia","62.541.823,40"
"2022 - Combustíveis","33.126.446,45"
"2061 - Previdência Social","26.733.139.944,21"
"1115 - Geologia do Brasil","4.104.188,91"
"1460 - Vetor Logístico Nordeste Meridional","12.050.555,40"
"2064 - Promoção e Defesa dos Direitos Humanos","10.321.948,25"
"2121 - Programa de Gestão e Manutenção do Ministério do Desenvolvimento, Indústria e Comércio Exterior","232.400.323,72"
"0083 - Previdência Social Básica","284,06"
"2028 - Defesa Agropecuária","51.226.333,00"
"2078 - Conservação e Uso Sustentável da Biodiversidade","41.857.420,07"
"2021 - Ciência, Tecnologia e Inovação","684.100.123,15"
"2047 - Simplificação da Vida da Empresa e do Cidadão: Bem Mais Simples Brasil","3.387.299,84"
"0581 - Defesa da Ordem Jurídica","1.051.326,62"
"2087 - Transporte Terrestre","164.391.307,55"
"0770 - Administração Tributária e Aduaneira","7.227,64"
"0911 - Operações Especiais - Remuneração de Agentes Financeiros","140.046.928,48"
"0580 - Defesa Jurídica da União","736,32"
"1305 - Revitalização de Bacias Hidrográficas em Situação de Vulnerabilidade e Degradação Ambiental","56.273,25"
"2109 - Programa de Gestão e Manutenção do Ministério da Educação","12.500.261.829,12"
"2041 - Geologia, Mineração e Transformação Mineral","15.483.513,34"
"1073 - Brasil Universitário","2.060.503,74"
"2124 - Programa de Gestão e Manutenção do Ministério do Meio Ambiente","436.610.880,56"
"0461 - Promoção da Pesquisa e do Desenvolvimento Científico e Tecnológico","7.301.556,43"
"2040 - Gestão de Riscos e de Desastres","295.618.453,35"
"2056 - Política Espacial","40.481.259,61"
"2069 - Segurança Alimentar e Nutricional","185.262.727,96"
"1029 - Resposta aos Desastres e Reconstrução","366.398,93"
"0151 - Proteção de Terras Indígenas, Gestão Territorial e Etnodesenvolvimento","487.329,84"
"0566 - Prestação Jurisdicional Militar","390.912,86"
"1220 - Assistência Ambulatorial e Hospitalar Especializada","358.248,40"
"1383 - Assistência e Cooperação das Forças Armadas à Sociedade","289.000,00"
"2111 - Programa de Gestão e Manutenção do Ministério da Integração Nacional","289.015.572,36"
"0905 - Operações Especiais: Serviço da Dívida Interna (Juros e Amortizações)","139.484.257.936,75"
"2115 - Programa de Gestão e Manutenção do Ministério da Saúde","3.578.259.491,50"
"2058 - Defesa Nacional","3.186.789.291,01"
"2032 - Educação Superior - Graduação, Pós-Graduação, Ensino, Pesquisa e Extensão","1.225.869.405,11"
"1375 - Desenvolvimento do Ensino da Pós-Graduação e da Pesquisa Científica","41.376,60"
"2049 - Moradia Digna","2.139.863.057,18"
"2012 - Fortalecimento e Dinamização da Agricultura Familiar","3.657.788.984,07"
"0902 - Operações Especiais: Financiamentos com Retorno","11.677.757.686,70"
"2019 - Inclusão social por meio do Bolsa Família, do Cadastro Único e da articulação de políticas sociais","9.967.877,23"
"0910 - Operações Especiais: Gestão da Participação em Organismos e Entidades Nacionais e Internacionais","81.963,46"
"0352 - Abastecimento Agroalimentar","2.987,08"
"0901 - Operações Especiais: Cumprimento de Sentenças Judiciais","388.877.381,73"
"0120 - Promoção do Desenvolvimento da Faixa de Fronteira","4.091,34"
"2027 - Cultura: dimensão essencial do Desenvolvimento","313.385.382,59"
"2081 - Justiça, Cidadania e Segurança Pública","129.402.528,53"
"0089 - Previdência de Inativos e Pensionistas da União","22.587.542.666,93"
"2086 - Transporte Aquaviário","569.286.756,70"
"0122 - Serviços Urbanos de Água e Esgoto","4.019.016,77"
"1459 - Vetor Logístico Nordeste Setentrional","486.392,01"
"2101 - Programa de Gestão e Manutenção da Presidência da República","927.404.181,49"
"1295 - Descentralização dos Sistemas de Transporte Ferroviário Urbano de Passageiros","110.702,38"
"2126 - Programa de Gestão e Manutenção do Ministério dos Transportes","1.084.631.503,48"
"1456 - Vetor Logístico Amazônico","1.736.446,04"
"2038 - Democracia e Aperfeiçoamento da Gestão Pública","125.002.081,90"
"0906 - Operações Especiais: Serviço da Dívida Externa (Juros e Amortizações)","4.418.763.882,41"
"2066 - Reforma Agrária e Governança Fundiária","106.219.696,97"
"2052 - Pesca e Aquicultura","7.386.289,87"
"2051 - Oferta de Água","457.977.337,46"
"2074 - Transporte Marítimo","50.001.604,94"
"1461 - Vetor Logístico Centro-Sudeste","57.868,96"
"2128 - Programa de Gestão e Manutenção do Ministério do Turismo","32.302.725,64"
"1453 - Nacional de Segurança Pública com Cidadania - PRONASCI","2.310,01"
"0550 - Controle Externo","245.605,38"
"2077 - Agropecuária Sustentável","2.327.010.558,27"
"2050 - Mudança do Clima","11.110.763,18"
"2068 - Saneamento Básico","25.309.295,26"
"2076 - Desenvolvimento e Promoção do Turismo","32.355.144,08"
"2082 - Política Externa","12.435.910,09"
"0551 - Atuação Legislativa do Senado Federal","20.266,66"
"2060 - Coordenação de Políticas de Prevenção, Atenção e Reinserção Social de Usuários de Crack, Álcool e outras Droga","36.210.832,17"
"1025 - Promoção da Sustentabilidade de Espaços Sub-Regionais - PROMESO","471.456,11"
"0225 - Gestão da Política dos Transportes","4.918.598,98"
"0751 - Serviços de Tecnologia da Informação","235.993.084,67"
"1458 - Vetor Logístico Leste","2.290.716,87"
"2057 - Política Externa","42.923.723,19"
"2014 - Agropecuária Sustentável, Abastecimento e Comercialização","1.627.123.162,99"
"2054 - Planejamento Urbano","716.874,85"
"0571 - Prestação Jurisdicional Trabalhista","320.203,64"
"0909 - Operações Especiais: Outros Encargos Especiais","19.320.510.521,36"
"2070 - Segurança Pública com Cidadania","153.024.316,38"
"2085 - Redução do impacto social do álcool e outras drogas: Prevenção, Cuidado e Reinserção Social","321.906,05"
"2059 - Política Nuclear","170.619.658,78"
"2105 - Programa de Gestão e Manutenção do Ministério da Agricultura, Pecuária e Abastecimento","1.640.598.967,94"
"2112 - Programa de Gestão e Manutenção do Ministério da Justiça","2.008.475.671,72"
"1427 - Assistência Técnica e Extensão Rural na Agricultura Familiar","61.965,41"
"2016 - Políticas para as Mulheres: Promoção da Igualdade e Enfrentamento à Violência","24.461.005,53"
"0357 - Segurança da Sanidade na Agropecuária","2.147.786,80"
"2123 - Programa de Gestão e Manutenção do Ministério do Esporte","70.029.246,24"
"1061 - Brasil Escolarizado","345.571,29"
"2125 - Programa de Gestão e Manutenção do Ministério do Planejamento, Orçamento e Gestão","1.209.950.229,39"
"2044 - Promoção dos Direitos da Juventude","5.426.707,26"
"0235 - Corredor Nordeste","4.910,43"
"0379 - Desenvolvimento da Agricultura Irrigada","2.494.248,89"
"0570 - Gestão do Processo Eleitoral","84.173,30"
"0085 - Qualidade dos Serviços Previdenciários","2.029,15"
"2117 - Programa de Gestão e Manutenção do Ministério das Comunicações","159.758.810,92"
"0016 - Gestão da Política de Saúde","51.631,88"
"0750 - Apoio Administrativo","470.977,05"
